campaign_id,campaign_name,order,url,total_clicks,unique_clicks,click_percentage,unique_click_percentage
88729cfa9f,DP Daybreak 03/27/2024,1,https://gopuff.onelink.me/6XXe/1wpalnyc,9,8,0.006114130434782609,0.009779951100244499
88729cfa9f,DP Daybreak 03/27/2024,2,https://www.shopsatpenn.com/,4,4,0.002717391304347826,0.004889975550122249
88729cfa9f,DP Daybreak 03/27/2024,3,http://www.liveatuca.com/,10,8,0.006793478260869565,0.009779951100244499
a793d8dbc6,DP Daybreak 03/28/2024,1,https://gopuff.onelink.me/6XXe/1wpalnyc,8,7,0.0027008777852802163,0.004438807863031071
a793d8dbc6,DP Daybreak 03/28/2024,2,https://www.acmemarkets.com/,8,6,0.0027008777852802163,0.003804692454026633
aa79c592b9,DP Daybreak 03/29/2024,1,https://www.livecampusapts.com/,4,4,0.00196174595389897,0.0037488284910965324
aa79c592b9,DP Daybreak 03/29/2024,2,http://dominos.com/,5,5,0.0024521824423737125,0.004686035613870665
aa79c592b9,DP Daybreak 03/29/2024,3,https://urldefense.com/v3/__https://theDP.us2.list-manage.com/track/click?u=a96885e3aa3f8131c872ee329&id=5f852061d0&e=c4aba4b8cf__;!!IBzWLUs!X_M8mQz48xss8SQT5TQRZPVJB2qYA-iN-H69_EVzLyimHKAUrgkcrxQpai6tgiwFcd6yxDKAxH1PXmNAEYU_SJA$,7,7,0.0034330554193231977,0.006560449859418931
aa79c592b9,DP Daybreak 03/29/2024,4,https://thedp.wufoo.com/forms/utb-joke-week-sticker-presale-form/,21,12,0.010299166257969592,0.011246485473289597
14247c5c6c,DP Daybreak 04/01/2024,1,https://gopuff.onelink.me/6XXe/1wpalnyc,26,20,0.015466983938132063,0.02247191011235955
14247c5c6c,DP Daybreak 04/01/2024,2,https://www.acmemarkets.com/,4,4,0.002379535990481856,0.0044943820224719105
14247c5c6c,DP Daybreak 04/01/2024,3,https://www.shopsatpenn.com/,6,6,0.003569303985722784,0.006741573033707865
